Source,Text,FAQ item,FAQ link
Annotated March 2020,I haven't received a password reset email,I'm having trouble signing into my account,
Annotated March 2020,My account says it's blocked,I'm having trouble signing into my account,
Annotated March 2020,I'm locked out of my account,I'm having trouble signing into my account,
Annotated March 2020,Have I been banned from ASOS?,I'm having trouble signing into my account,
Annotated March 2020,Where can I get a return label from? I lost mine,How can I get a new returns note?,
Annotated March 2020,"I bought these shoes and exchanged for a different size, but they came back in the wrong colour. Can you help?","I have an incorrect item in my order, what do I do?",
Annotated March 2020,I've forgotten my email address that I registered with,I'm having trouble signing into my account,
Annotated March 2020,When will my order come?,Can I track the delivery of my order?,
Annotated March 2020,Can I change my delivery address after ordering?,Can I have my parcel redirected to a different address?,
Annotated March 2020,My discount code isn't working,Can you help me with my promo code?,
Annotated March 2020,Why can't I use this promo code?,Can you help me with my promo code?,
Annotated March 2020,I can't register as a student,I’m a student but my email address hasn't been validated for my 10% code,
Annotated March 2020,Can I top up my gift voucher?,?,
Annotated March 2020,Can I use a gift card if I'm not an existing customer?,? - How do I use my Gift Voucher to pay for an order?,
Annotated March 2020,Can I pay with PayPal?,How can I pay for my order?,
Annotated March 2020,Can I return this make-up?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",
Annotated March 2020,I need to return several items from different orders. Can I send them all together in one bag?,Can I return more than one order in the same parcel?,
Annotated March 2020,How long do I have to return an item?,What is your Returns Policy?,
Annotated March 2020,Can I return something that I've worn once?,What is your Returns Policy?,
Annotated March 2020,The buttons came off my shirt. Can I get a replacement?,?,
Annotated March 2020,Can I speak to a human please?,?,
Annotated March 2020,Can I search with my voice? I have difficulty typing,?,
Annotated March 2020,"I've made a mistake on the size of one of the items, how can I change it?",Can I return an item for an exchange instead of a refund?,
Annotated March 2020,I've changed my mind about something.,?,
Annotated March 2020,When will it be too late to change my order?,Can I amend my order after I've placed it?,
Annotated March 2020,How long do I have the option to return my order?,What happens to my refund if I return between 29 and 45 days?,
Annotated March 2020,My shirt is the wrong colour,"I have an incorrect item in my order, what do I do?",
Annotated March 2020,When did my order get delivered?,What should I do if my order hasn't been delivered yet?,
Annotated March 2020,How much does it cost for next day delivery?,How does your UK Next Day Delivery service work?,
Annotated March 2020,"If I order today, when will I receive it",How does your UK Standard Delivery service work?,
Annotated March 2020,I think I've got someone elses order,?,
Annotated March 2020,My order was meant to be here a week ago,What should I do if my order hasn't been delivered yet?,
Annotated March 2020,"I need the clothes by tomorrow, is it too late?",How does your UK Next Day Delivery service work?,
Annotated March 2020,My order cancelled itself,?,
Annotated March 2020,Is it too late to change the delivery address?,Can I amend my order after I've placed it?,
Annotated March 2020,Something is cheaper now than when I ordered it,?,
Annotated March 2020,Can you deliver to a different country than where I ordered in?,?,
Annotated March 2020,"I lost my returns note, where can I get a new one?",How can I get a new returns note?,
Annotated March 2020,How do I return some of my items to you?,I'm a UK customer. How do I return something to you?,
Annotated March 2020,Is it free to return an order?,Do you refund delivery charges if I return something?,
Annotated March 2020,When can I expect the money back in my account after a return?,?,
Annotated March 2020,When will this shirt be back in stock?,Can you tell me if you're getting an item back in stock?,
Annotated March 2020,How are the clothes made?,Can you tell me more about your responsible shopping experience?,
Annotated March 2020,Can I choose a specific time tomorrow to have my order delivered?,Can I choose a specific time or day for my delivery?,
Annotated March 2020,My order has said 'Order Processing' for a week,?,
Annotated March 2020,Can I return some makeup after I've tried it?,What is your Returns Policy?,
Annotated March 2020,Are you going to have a sale soon?,?,
Annotated March 2020,"The card I used to make the order is now cancelled, if I got a refund where does the money go?",What happens to my refund if my card is no longer in use?,
Annotated March 2020,I can't remember my login details,I'm having trouble signing into my account,
Annotated March 2020,How do i return an order at Asda?,?,
Annotated March 2020,Do you take American Express?,?,
Annotated March 2020,Can I get cashback on an Asos order?,?,
Annotated March 2020,How can I make sure I order the right size?,WHERE CAN I FIND YOUR SIZE GUIDE AND CARE INSTRUCTIONS?,
Annotated March 2020,I want to pay in dollars instead,WHAT CURRENCIES CAN I USE TO PLACE AN ORDER WITH ASOS?,
Annotated March 2020,I've been getting too many emails from asos,HOW CAN I UNSUBSCRIBE FROM YOUR EMAILS/TEXTS?,
Annotated March 2020,How do I stop the texts I've been getting,HOW CAN I UNSUBSCRIBE FROM YOUR EMAILS/TEXTS?,
Annotated March 2020,How do I get student discount?,DO YOU OFFER A DISCOUNT OR PROMO FOR STUDENTS?,
GPT3 Feb 2021,What kind of fur do you use?,Are any of the items you sell made using real fur?,https://www.asos.com/customer-care/product-stock/are-any-of-the-items-you-sell-made-using-real-fur/
GPT3 Feb 2021,Does your company use real fur?,Are any of the items you sell made using real fur?,https://www.asos.com/customer-care/product-stock/are-any-of-the-items-you-sell-made-using-real-fur/
GPT3 Feb 2021,Is your fur cruelty free?,Are any of the items you sell made using real fur?,https://www.asos.com/customer-care/product-stock/are-any-of-the-items-you-sell-made-using-real-fur/
GPT3 Feb 2021,Are your products made of real animal fur?,Are any of the items you sell made using real fur?,https://www.asos.com/customer-care/product-stock/are-any-of-the-items-you-sell-made-using-real-fur/
GPT3 Feb 2021,Does your product contain real fur?,Are any of the items you sell made using real fur?,https://www.asos.com/customer-care/product-stock/are-any-of-the-items-you-sell-made-using-real-fur/
GPT3 Feb 2021,Is the fur on your product real?,Are any of the items you sell made using real fur?,https://www.asos.com/customer-care/product-stock/are-any-of-the-items-you-sell-made-using-real-fur/
GPT3 Feb 2021,Is your fur fake?,Are any of the items you sell made using real fur?,https://www.asos.com/customer-care/product-stock/are-any-of-the-items-you-sell-made-using-real-fur/
GPT3 Feb 2021,Is your fur real?,Are any of the items you sell made using real fur?,https://www.asos.com/customer-care/product-stock/are-any-of-the-items-you-sell-made-using-real-fur/
GPT3 Feb 2021,Does your company use real fur?,Are any of the items you sell made using real fur?,https://www.asos.com/customer-care/product-stock/are-any-of-the-items-you-sell-made-using-real-fur/
GPT3 Feb 2021,Is your fur cruelty free?,Are any of the items you sell made using real fur?,https://www.asos.com/customer-care/product-stock/are-any-of-the-items-you-sell-made-using-real-fur/
GPT3 Feb 2021,I need my parcel by the latest on Thursday,Can I choose a specific time or day for my delivery?,https://www.asos.com/customer-care/delivery/can-i-choose-a-specific-time-or-day-for-my-delivery/
GPT3 Feb 2021,I need my parcel by the latest on Friday,Can I choose a specific time or day for my delivery?,https://www.asos.com/customer-care/delivery/can-i-choose-a-specific-time-or-day-for-my-delivery/
GPT3 Feb 2021,I need my parcel to arrive on a specific day (UK),Can I choose a specific time or day for my delivery?,https://www.asos.com/customer-care/delivery/can-i-choose-a-specific-time-or-day-for-my-delivery/
GPT3 Feb 2021,I need my parcel to arrive on a specific day (International),Can I choose a specific time or day for my delivery?,https://www.asos.com/customer-care/delivery/can-i-choose-a-specific-time-or-day-for-my-delivery/
GPT3 Feb 2021,I need my parcel to arrive on a specific date,Can I choose a specific time or day for my delivery?,https://www.asos.com/customer-care/delivery/can-i-choose-a-specific-time-or-day-for-my-delivery/
GPT3 Feb 2021,I need my parcel to arrive on a specific time,Can I choose a specific time or day for my delivery?,https://www.asos.com/customer-care/delivery/can-i-choose-a-specific-time-or-day-for-my-delivery/
GPT3 Feb 2021,I need my parcel to arrive on a specific time on a specific day,Can I choose a specific time or day for my delivery?,https://www.asos.com/customer-care/delivery/can-i-choose-a-specific-time-or-day-for-my-delivery/
GPT3 Feb 2021,"I will be out of the country on delivery date, can you deliver on another date?",Can I choose a specific time or day for my delivery?,https://www.asos.com/customer-care/delivery/can-i-choose-a-specific-time-or-day-for-my-delivery/
GPT3 Feb 2021,Can you deliver my parcel on a specific date?,Can I choose a specific time or day for my delivery?,https://www.asos.com/customer-care/delivery/can-i-choose-a-specific-time-or-day-for-my-delivery/
GPT3 Feb 2021,Can you deliver my parcel on a specific date and time?,Can I choose a specific time or day for my delivery?,https://www.asos.com/customer-care/delivery/can-i-choose-a-specific-time-or-day-for-my-delivery/
GPT3 Feb 2021,I am going on holiday and want my order delivered to my hotel,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
GPT3 Feb 2021,I live in a different country to my billing address,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
GPT3 Feb 2021,"I have changed my address, can you update it?",Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
GPT3 Feb 2021,I was sent the wrong item how can I have it delivered to another address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
GPT3 Feb 2021,How do I have my order delivered to a different address?,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
GPT3 Feb 2021,I want to change my address,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
GPT3 Feb 2021,I want to change my delivery address,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
GPT3 Feb 2021,I want to ship my order to my friends house,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
GPT3 Feb 2021,I want to ship my order to my daughter's address,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
GPT3 Feb 2021,I want to ship my order to my parents house,Can I have my order delivered to al alternative address?,https://www.asos.com/customer-care/delivery/can-i-have-my-order-delivered-to-my-work-address/
GPT3 Feb 2021,I don't like this perfume can I send it back?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
GPT3 Feb 2021,Can I return this perfume?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
GPT3 Feb 2021,I bought a perfurme with an offer of three freebies and I don't like them can I return them,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
GPT3 Feb 2021,"I am not happy with this perfume, can I return it?","Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
GPT3 Feb 2021,I didn't like this perfume can I send it back?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
GPT3 Feb 2021,I am not happy with this perfume can I send it back?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
GPT3 Feb 2021,I want to return this perfume,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
GPT3 Feb 2021,I don't like this perfume can I send it back?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
GPT3 Feb 2021,I'd like to return this perfume as the lid has come off and the scent is no longer as strong,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
GPT3 Feb 2021,I don't like this perfume can I send it back?,"Can I return aerosols, cosmetics, liquids, perfumes or batteries?",https://www.asos.com/customer-care/returns-refunds/can-i-return-aerosols-cosmetics-liquids-perfumes-or-batteries/
GPT3 Feb 2021,I would like to change my order to a different item,Can I return an item for an exchange instead of a refund?,https://www.asos.com/customer-care/returns-refunds/can-i-return-an-item-for-an-exchange-instead-of-a-refund/
GPT3 Feb 2021,I want to change the item for a different size,Can I return an item for an exchange instead of a refund?,https://www.asos.com/customer-care/returns-refunds/can-i-return-an-item-for-an-exchange-instead-of-a-refund/
GPT3 Feb 2021,I would like to exchange my item for a different size,Can I return an item for an exchange instead of a refund?,https://www.asos.com/customer-care/returns-refunds/can-i-return-an-item-for-an-exchange-instead-of-a-refund/
GPT3 Feb 2021,I would like to exchange my item for a different style,Can I return an item for an exchange instead of a refund?,https://www.asos.com/customer-care/returns-refunds/can-i-return-an-item-for-an-exchange-instead-of-a-refund/
GPT3 Feb 2021,I want to exchange for a different item,Can I return an item for an exchange instead of a refund?,https://www.asos.com/customer-care/returns-refunds/can-i-return-an-item-for-an-exchange-instead-of-a-refund/
GPT3 Feb 2021,I would like to return the item and exchange for a different size,Can I return an item for an exchange instead of a refund?,https://www.asos.com/customer-care/returns-refunds/can-i-return-an-item-for-an-exchange-instead-of-a-refund/
GPT3 Feb 2021,I would like to return and exchange for a different size,Can I return an item for an exchange instead of a refund?,https://www.asos.com/customer-care/returns-refunds/can-i-return-an-item-for-an-exchange-instead-of-a-refund/
GPT3 Feb 2021,I would like to return the item and exchange for a different size,Can I return an item for an exchange instead of a refund?,https://www.asos.com/customer-care/returns-refunds/can-i-return-an-item-for-an-exchange-instead-of-a-refund/
GPT3 Feb 2021,I want to exchange my item for a different size,Can I return an item for an exchange instead of a refund?,https://www.asos.com/customer-care/returns-refunds/can-i-return-an-item-for-an-exchange-instead-of-a-refund/
GPT3 Feb 2021,I would like to swap my item for a different size,Can I return an item for an exchange instead of a refund?,https://www.asos.com/customer-care/returns-refunds/can-i-return-an-item-for-an-exchange-instead-of-a-refund/
GPT3 Feb 2021,Can I send multiple orders back in one bag?,Can I return more than one order in the same parcel?,https://www.asos.com/customer-care/returns-refunds/can-i-return-more-than-one-order-in-the-same-parcel/
GPT3 Feb 2021,"I have multiple returns, can I combine them all in the same bag?",Can I return more than one order in the same parcel?,https://www.asos.com/customer-care/returns-refunds/can-i-return-more-than-one-order-in-the-same-parcel/
GPT3 Feb 2021,Can I return multiple orders in the same parcel?,Can I return more than one order in the same parcel?,https://www.asos.com/customer-care/returns-refunds/can-i-return-more-than-one-order-in-the-same-parcel/
GPT3 Feb 2021,Can I send multiple returns in one bag?,Can I return more than one order in the same parcel?,https://www.asos.com/customer-care/returns-refunds/can-i-return-more-than-one-order-in-the-same-parcel/
GPT3 Feb 2021,Can I return multiple orders in one parcel?,Can I return more than one order in the same parcel?,https://www.asos.com/customer-care/returns-refunds/can-i-return-more-than-one-order-in-the-same-parcel/
GPT3 Feb 2021,Can I combine multiple orders in one parcel?,Can I return more than one order in the same parcel?,https://www.asos.com/customer-care/returns-refunds/can-i-return-more-than-one-order-in-the-same-parcel/
GPT3 Feb 2021,Is it OK to combine returns?,Can I return more than one order in the same parcel?,https://www.asos.com/customer-care/returns-refunds/can-i-return-more-than-one-order-in-the-same-parcel/
GPT3 Feb 2021,Can I send multiple returns in one parcel?,Can I return more than one order in the same parcel?,https://www.asos.com/customer-care/returns-refunds/can-i-return-more-than-one-order-in-the-same-parcel/
GPT3 Feb 2021,Do you allow combined returns?,Can I return more than one order in the same parcel?,https://www.asos.com/customer-care/returns-refunds/can-i-return-more-than-one-order-in-the-same-parcel/
GPT3 Feb 2021,Can I send more than one order back in one parcel?,Can I return more than one order in the same parcel?,https://www.asos.com/customer-care/returns-refunds/can-i-return-more-than-one-order-in-the-same-parcel/
GPT3 Feb 2021,How do I track my order?,Can I track the delivery of my order?,https://www.asos.com/customer-care/delivery/can-i-track-the-delivery-of-my-order/
GPT3 Feb 2021,How do I find out where my order is?,Can I track the delivery of my order?,https://www.asos.com/customer-care/delivery/can-i-track-the-delivery-of-my-order/
GPT3 Feb 2021,How do I know if my purchase has been shipped?,Can I track the delivery of my order?,https://www.asos.com/customer-care/delivery/can-i-track-the-delivery-of-my-order/
GPT3 Feb 2021,How can I track my order?,Can I track the delivery of my order?,https://www.asos.com/customer-care/delivery/can-i-track-the-delivery-of-my-order/
GPT3 Feb 2021,How long does it take to get my purchase?,Can I track the delivery of my order?,https://www.asos.com/customer-care/delivery/can-i-track-the-delivery-of-my-order/
GPT3 Feb 2021,How do I get updates on my order?,Can I track the delivery of my order?,https://www.asos.com/customer-care/delivery/can-i-track-the-delivery-of-my-order/
GPT3 Feb 2021,What is the tracking number to my order?,Can I track the delivery of my order?,https://www.asos.com/customer-care/delivery/can-i-track-the-delivery-of-my-order/
GPT3 Feb 2021,What time will my order arrive?,Can I track the delivery of my order?,https://www.asos.com/customer-care/delivery/can-i-track-the-delivery-of-my-order/
GPT3 Feb 2021,When will my order come?,Can I track the delivery of my order?,https://www.asos.com/customer-care/delivery/can-i-track-the-delivery-of-my-order/
GPT3 Feb 2021,When will my order be delivered?,Can I track the delivery of my order?,https://www.asos.com/customer-care/delivery/can-i-track-the-delivery-of-my-order/
GPT3 Feb 2021,How long does it take for my order to arrive with premier?,Can you tell me more about your Premier Delivery service?,https://www.asos.com/customer-care/delivery/can-you-tell-me-more-about-your-premier-delivery-service/
GPT3 Feb 2021,Why do I have to pay for delivery with premier?,Can you tell me more about your Premier Delivery service?,https://www.asos.com/customer-care/delivery/can-you-tell-me-more-about-your-premier-delivery-service/
GPT3 Feb 2021,Why is my parcel not being delivered next day with premier?,Can you tell me more about your Premier Delivery service?,https://www.asos.com/customer-care/delivery/can-you-tell-me-more-about-your-premier-delivery-service/
GPT3 Feb 2021,What happens if my items are returned with premier?,Can you tell me more about your Premier Delivery service?,https://www.asos.com/customer-care/delivery/can-you-tell-me-more-about-your-premier-delivery-service/
GPT3 Feb 2021,Are there any premier delivery restrictions?,Can you tell me more about your Premier Delivery service?,https://www.asos.com/customer-care/delivery/can-you-tell-me-more-about-your-premier-delivery-service/
GPT3 Feb 2021,I am a premier customer will I be able to use my discount code?,Can you tell me more about your Premier Delivery service?,https://www.asos.com/customer-care/delivery/can-you-tell-me-more-about-your-premier-delivery-service/
GPT3 Feb 2021,I am a premier customer but I have not received my premier discount code?,Can you tell me more about your Premier Delivery service?,https://www.asos.com/customer-care/delivery/can-you-tell-me-more-about-your-premier-delivery-service/
GPT3 Feb 2021,Can I get my premier delivery for free?,Can you tell me more about your Premier Delivery service?,https://www.asos.com/customer-care/delivery/can-you-tell-me-more-about-your-premier-delivery-service/
GPT3 Feb 2021,How do I pay for delivery with premier?,Can you tell me more about your Premier Delivery service?,https://www.asos.com/customer-care/delivery/can-you-tell-me-more-about-your-premier-delivery-service/
GPT3 Feb 2021,Can I have my items delivered on a specific day with premier?,Can you tell me more about your Premier Delivery service?,https://www.asos.com/customer-care/delivery/can-you-tell-me-more-about-your-premier-delivery-service/
GPT3 Feb 2021,How can I do to guarantee that the materials in my clothing are sourced sustainably?,Can you tell me more about your responsible shopping experience?,https://www.asos.com/customer-care/product-stock/can-you-tell-me-more-about-your-responsible-shopping-experience/
GPT3 Feb 2021,How can I be sure that the cotton I buy is ethically sourced?,Can you tell me more about your responsible shopping experience?,https://www.asos.com/customer-care/product-stock/can-you-tell-me-more-about-your-responsible-shopping-experience/
GPT3 Feb 2021,What are ASOS doing to tackle the issue of fast fashion?,Can you tell me more about your responsible shopping experience?,https://www.asos.com/customer-care/product-stock/can-you-tell-me-more-about-your-responsible-shopping-experience/
GPT3 Feb 2021,Do you have a sustainable fashion policy?,Can you tell me more about your responsible shopping experience?,https://www.asos.com/customer-care/product-stock/can-you-tell-me-more-about-your-responsible-shopping-experience/
GPT3 Feb 2021,Do you know what recycling is?,Can you tell me more about your responsible shopping experience?,https://www.asos.com/customer-care/product-stock/can-you-tell-me-more-about-your-responsible-shopping-experience/
GPT3 Feb 2021,What should I do with my old clothes?,Can you tell me more about your responsible shopping experience?,https://www.asos.com/customer-care/product-stock/can-you-tell-me-more-about-your-responsible-shopping-experience/
GPT3 Feb 2021,How does ASOS dispose of unsold inventory?,Can you tell me more about your responsible shopping experience?,https://www.asos.com/customer-care/product-stock/can-you-tell-me-more-about-your-responsible-shopping-experience/
GPT3 Feb 2021,Why can't I return my used items to your stores?,Can you tell me more about your responsible shopping experience?,https://www.asos.com/customer-care/product-stock/can-you-tell-me-more-about-your-responsible-shopping-experience/
GPT3 Feb 2021,How do you recycle your packaging?,Can you tell me more about your responsible shopping experience?,https://www.asos.com/customer-care/product-stock/can-you-tell-me-more-about-your-responsible-shopping-experience/
GPT3 Feb 2021,Can I recycle my packaging?,Can you tell me more about your responsible shopping experience?,https://www.asos.com/customer-care/product-stock/can-you-tell-me-more-about-your-responsible-shopping-experience/
GPT3 Feb 2021,Can I send something back to you and you refund me the delivery charges?,Do you refund delivery charges if I return something?,https://www.asos.com/customer-care/returns-refunds/do-you-refund-delivery-charges-if-i-return-something/
GPT3 Feb 2021,Do you refund the postage if I return something?,Do you refund delivery charges if I return something?,https://www.asos.com/customer-care/returns-refunds/do-you-refund-delivery-charges-if-i-return-something/
GPT3 Feb 2021,Can I send something back to you and you refund the delivery?,Do you refund delivery charges if I return something?,https://www.asos.com/customer-care/returns-refunds/do-you-refund-delivery-charges-if-i-return-something/
GPT3 Feb 2021,Can I return something and you refund the delivery payments?,Do you refund delivery charges if I return something?,https://www.asos.com/customer-care/returns-refunds/do-you-refund-delivery-charges-if-i-return-something/
GPT3 Feb 2021,Do you pay the delivery charges if I send you my items back?,Do you refund delivery charges if I return something?,https://www.asos.com/customer-care/returns-refunds/do-you-refund-delivery-charges-if-i-return-something/
GPT3 Feb 2021,How much is it to return my items?,Do you refund delivery charges if I return something?,https://www.asos.com/customer-care/returns-refunds/do-you-refund-delivery-charges-if-i-return-something/
GPT3 Feb 2021,I want to return my items but don't want to pay the return fees,Do you refund delivery charges if I return something?,https://www.asos.com/customer-care/returns-refunds/do-you-refund-delivery-charges-if-i-return-something/
GPT3 Feb 2021,I only want to return one item!,Do you refund delivery charges if I return something?,https://www.asos.com/customer-care/returns-refunds/do-you-refund-delivery-charges-if-i-return-something/
GPT3 Feb 2021,What is the return policy?,Do you refund delivery charges if I return something?,https://www.asos.com/customer-care/returns-refunds/do-you-refund-delivery-charges-if-i-return-something/
GPT3 Feb 2021,Can I return something and you pay the postage?,Do you refund delivery charges if I return something?,
GPT3 Feb 2021,It has been more than 14 days since I made a return,Have you received my returned items?,https://www.asos.com/customer-care/returns-refunds/have-you-received-my-returned-items/
GPT3 Feb 2021,Where is my return?,Have you received my returned items?,https://www.asos.com/customer-care/returns-refunds/have-you-received-my-returned-items/
GPT3 Feb 2021,"I'm waiting for my money, please check if its with you",Have you received my returned items?,https://www.asos.com/customer-care/returns-refunds/have-you-received-my-returned-items/
GPT3 Feb 2021,I want to check if my return was received,Have you received my returned items?,https://www.asos.com/customer-care/returns-refunds/have-you-received-my-returned-items/
GPT3 Feb 2021,"I have returned my items more than 14 days ago, can you check if its with you?",Have you received my returned items?,https://www.asos.com/customer-care/returns-refunds/have-you-received-my-returned-items/
GPT3 Feb 2021,Are you holding any of my returns?,Have you received my returned items?,https://www.asos.com/customer-care/returns-refunds/have-you-received-my-returned-items/
GPT3 Feb 2021,I want to check if any of my returns are with you,Have you received my returned items?,https://www.asos.com/customer-care/returns-refunds/have-you-received-my-returned-items/
GPT3 Feb 2021,"What does ""awaiting collection"" mean",Have you received my returned items?,https://www.asos.com/customer-care/returns-refunds/have-you-received-my-returned-items/
GPT3 Feb 2021,I haven't received my refund on my account,Have you received my returned items?,https://www.asos.com/customer-care/returns-refunds/have-you-received-my-returned-items/
GPT3 Feb 2021,"I returned my stuff more than 14 days ago, where is my refund",Have you received my returned items?,https://www.asos.com/customer-care/returns-refunds/have-you-received-my-returned-items/
GPT3 Feb 2021,I need a new returns note,How can I get a new returns slip?,https://www.asos.com/customer-care/returns-refunds/how-can-i-get-a-new-returns-slip/
