,Source,Text,FAQ item,FAQ link
18,T5 Augmentation April 2021,Do you still have your Nike Air Force One in stock?,Can you tell me if you're getting an item back in stock?,
19,T5 Augmentation April 2021,Will Nike issue Air Force One next Friday in a limited stock fashion?,Can you tell me if you're getting an item back in stock?,
20,T5 Augmentation April 2021,How do we order from France?,?,
21,T5 Augmentation April 2021,How will I order from France?,?,
22,T5 Augmentation April 2021,How can I buy things from France?,?,
23,T5 Augmentation April 2021,What does it mean when ordering from France?,?,
24,T5 Augmentation April 2021,How can I order online from France?,?,
25,T5 Augmentation April 2021,How do I order in France?,?,
26,T5 Augmentation April 2021,How can one order from France?,?,
27,T5 Augmentation April 2021,How do I buy a gift from France?,?,
28,T5 Augmentation April 2021,How do I order online in the UK?,?,
29,T5 Augmentation April 2021,Where can I get best quality goods from UK?,?,
30,T5 Augmentation April 2021,Where can I purchase online in UK?,?,
31,T5 Augmentation April 2021,Which is the best website to buy clothes from UK?,?,
32,T5 Augmentation April 2021,How do I go about ordering on Amazon UK?,?,
33,T5 Augmentation April 2021,Can I order in UK?,?,
34,T5 Augmentation April 2021,What are the best online orders from the UK?,?,
35,T5 Augmentation April 2021,What's the best way to order in the UK?,?,
36,T5 Augmentation April 2021,What is the best way to order for UK?,?,
37,T5 Augmentation April 2021,How do I book shipping fees in Spain?,?,
38,T5 Augmentation April 2021,Can I tell you about shipping fees in Spain?,?,
39,T5 Augmentation April 2021,How can I get a quote for shipping in Spain?,?,
40,T5 Augmentation April 2021,What are the shipping fees for Spain?,?,
41,T5 Augmentation April 2021,What is the shipping fee in Spain?,?,
42,T5 Augmentation April 2021,How do you find out shipping fees in Spain?,?,
43,T5 Augmentation April 2021,What are the shipping fees for Spain? Can someone explain this to me?,?,
44,T5 Augmentation April 2021,Can you explain shipping fees in Spain?,?,
45,T5 Augmentation April 2021,What is the shipping fee for Spain?,?,
46,T5 Augmentation April 2021,Can you tell me about shipping fees in Europe?,?,
47,T5 Augmentation April 2021,What is the shipping charge in Europe?,?,
48,T5 Augmentation April 2021,I want to know about Shipping fees Europe? How can you explain shipping fees?,?,
49,T5 Augmentation April 2021,How much are shipping fees in Europe?,?,
50,T5 Augmentation April 2021,What are the shipping fees in European Europe?,?,
51,T5 Augmentation April 2021,How much is shipping fee?,?,
52,T5 Augmentation April 2021,"If I ever find out shipping fees in the US, how I can calculate it?",?,
53,T5 Augmentation April 2021,What are shipping fees in Europe?,?,
54,T5 Augmentation April 2021,What is the cost of shipping in UK?,How does your UK Standard Delivery service work?,
55,T5 Augmentation April 2021,What is the shipping fees for a project?,How does your UK Standard Delivery service work?,
56,T5 Augmentation April 2021,How do you calculate shipping fees in UK?,How does your UK Standard Delivery service work?,
57,T5 Augmentation April 2021,How much can I cost for shipping in UK?,How does your UK Standard Delivery service work?,
58,T5 Augmentation April 2021,What are the shipping fees in UK?,How does your UK Standard Delivery service work?,
59,T5 Augmentation April 2021,How do I get more information about shipping fees in UK?,How does your UK Standard Delivery service work?,
60,T5 Augmentation April 2021,How do I find out about shipping fees in UK?,How does your UK Standard Delivery service work?,
61,T5 Augmentation April 2021,What are the shipping fees in the UK?,How does your UK Standard Delivery service work?,
62,T5 Augmentation April 2021,What is the shipping fee in UK?,How does your UK Standard Delivery service work?,
63,T5 Augmentation April 2021,What is the charge for shipping in the UK?,How does your UK Standard Delivery service work?,
64,T5 Augmentation April 2021,Why is my shirt missing from my order?,"I'm missing an item from my order, what do I do?",
65,T5 Augmentation April 2021,My shirt has been missed from my order... please help!,"I'm missing an item from my order, what do I do?",
66,T5 Augmentation April 2021,"My shirt is missing on my order, help!","I'm missing an item from my order, what do I do?",
67,T5 Augmentation April 2021,What can I do if my order is missing a shirt in India or abroad?,"I'm missing an item from my order, what do I do?",
68,T5 Augmentation April 2021,Unable to get a shirt on my order?,"I'm missing an item from my order, what do I do?",
69,T5 Augmentation April 2021,Why is my T-shirt missing from my order? I want a replacement!,"I'm missing an item from my order, what do I do?",
70,T5 Augmentation April 2021,How can I check if my shirt is missing from my order?,"I'm missing an item from my order, what do I do?",
71,T5 Augmentation April 2021,"My parcel is due today but I am travelling on that date, can you ship it early so I can receive it in time?",Can I choose a specific time or day for my delivery?,
72,T5 Augmentation April 2021,Can you ship your parcel before 3pm if I'm travelling on the first day/evening?,Can I choose a specific time or day for my delivery?,
73,T5 Augmentation April 2021,How do I get my parcel back on time from your website?,Can I choose a specific time or day for my delivery?,
74,T5 Augmentation April 2021,Can you ship it at the same time as i am going on a trip that pays for parcels by the estimated estimated range for my entire trip?,Can I choose a specific time or day for my delivery?,
75,T5 Augmentation April 2021,My parcel is due in 2 days. Can you ship it early?,Can I choose a specific time or day for my delivery?,
76,T5 Augmentation April 2021,How can I open my parcel before 10pm!,Can I choose a specific time or day for my delivery?,
77,T5 Augmentation April 2021,"My parcel is due tomorrow but I'm travelling on that date,can you ship it early so I can receive it in time?",Can I choose a specific time or day for my delivery?,
78,T5 Augmentation April 2021,My parcel is due tomorrow and I am travelling on that date. Can you ship it early so I can receive it in time and for a new address?,Can I choose a specific time or day for my delivery?,
79,T5 Augmentation April 2021,What is carbon footprint of a website?,?,
80,T5 Augmentation April 2021,What is the amount of carbon footprint of an order?,?,
81,T5 Augmentation April 2021,What's the carbon footprint of the entire Amazon order?,?,
82,T5 Augmentation April 2021,What is carbon footprint of an Indian order?,?,
83,T5 Augmentation April 2021,What is the carbon footprint or carbon composite of an order?,?,
84,T5 Augmentation April 2021,What is a carbon footprint or carbon economy?,?,
85,T5 Augmentation April 2021,What is the carbon footprint of any one order?,?,
86,T5 Augmentation April 2021,I want to know more about premiere?,Can you tell me more about your Premier Delivery service?,
87,T5 Augmentation April 2021,How do I find out more about premiere?,Can you tell me more about your Premier Delivery service?,
88,T5 Augmentation April 2021,How do I know more about a premiere?,Can you tell me more about your Premier Delivery service?,
89,T5 Augmentation April 2021,I have very little knowledge about premiere. Can you tell me more about it?,Can you tell me more about your Premier Delivery service?,
90,T5 Augmentation April 2021,Why did they create premiere?,Can you tell me more about your Premier Delivery service?,
91,T5 Augmentation April 2021,What is the official Premiere Foundation?,Can you tell me more about your Premier Delivery service?,
92,T5 Augmentation April 2021,Is premiere the defining word of premiere?,Can you tell me more about your Premier Delivery service?,
93,T5 Augmentation April 2021,Why have only premieres?,Can you tell me more about your Premier Delivery service?,
94,T5 Augmentation April 2021,I want more about premiere?,Can you tell me more about your Premier Delivery service?,
95,T5 Augmentation April 2021,When do I expect your next day delivery?,How does your UK Next Day Delivery service work?,
96,T5 Augmentation April 2021,How would I get my parcel with the next day delivery?,How does your UK Next Day Delivery service work?,
97,T5 Augmentation April 2021,When can I expect a next day delivery date on my parcel?,How does your UK Next Day Delivery service work?,
98,T5 Augmentation April 2021,What is the same day should I expect my parcel?,How does your UK Next Day Delivery service work?,
99,T5 Augmentation April 2021,When should I expect your package with next day delivery?,How does your UK Next Day Delivery service work?,
100,T5 Augmentation April 2021,Is it possible to send up to 6 a week with next day delivery?,How does your UK Next Day Delivery service work?,
101,T5 Augmentation April 2021,Can I ship next day?,How does your UK Next Day Delivery service work?,
102,T5 Augmentation April 2021,How do I order next day delivery on a parcel?,How does your UK Next Day Delivery service work?,
103,T5 Augmentation April 2021,What are the best ways to get your parcel on day one by phone?,How does your UK Next Day Delivery service work?,
104,T5 Augmentation April 2021,When can I expect next day delivery?,How does your UK Next Day Delivery service work?,
105,T5 Augmentation April 2021,"I am a premier customer, can you provide details on custom fees?",?,
106,T5 Augmentation April 2021,"I am a First time customer,can you give details on custom fees?",?,
107,T5 Augmentation April 2021,What are the custom fees of a Premier Customer?,?,
108,T5 Augmentation April 2021,How do I explain to a Premier customer the cost of customs fees?,?,
109,T5 Augmentation April 2021,Can you give me details on custom fees?,?,
110,T5 Augmentation April 2021,My account is private. Can you provide details on custom fees?,?,
111,T5 Augmentation April 2021,What are the details of our custom fees?,?,
112,T5 Augmentation April 2021,Do we have to pay custom fees from Russia?,?,
113,T5 Augmentation April 2021,Is it OK to pay for customs fee in Russia?,?,
114,T5 Augmentation April 2021,How do I pay for invoices and custom fees for immigration in Russia?,?,
115,T5 Augmentation April 2021,Do I have to pay custom fees to Germany?,?,
116,T5 Augmentation April 2021,"Is it necessary to buy import of Russia, when you are in Russia?",?,
117,T5 Augmentation April 2021,Is it illegal to pay customs fees from Russia for a foreign application?,?,
118,T5 Augmentation April 2021,How do I pay for custom fees from Russia?,?,
119,T5 Augmentation April 2021,Where can I pay custom fees from Russia?,?,
120,T5 Augmentation April 2021,Will India have to pay for custom fees from Russia then?,?,
121,T5 Augmentation April 2021,Do I need to pay for taxes in Russia?,?,
122,T5 Augmentation April 2021,Have you received my return products in the UK and have you covered the returns?,I'm a UK customer. Have you received my returned items?,https://asos-uk.custhelp.com/app/answers/detail/a_id/13
123,T5 Augmentation April 2021,Have you delivered my returned items to me?,I'm a UK customer. Have you received my returned items?,https://asos-uk.custhelp.com/app/answers/detail/a_id/13
124,T5 Augmentation April 2021,How can I return a previous customer who emailed me with wrong information?,I'm a UK customer. Have you received my returned items?,https://asos-uk.custhelp.com/app/answers/detail/a_id/13
125,T5 Augmentation April 2021,Has anybody received my returned product?,I'm a UK customer. Have you received my returned items?,https://asos-uk.custhelp.com/app/answers/detail/a_id/13
126,T5 Augmentation April 2021,How does the postage and packaging work. Have you received my return?,I'm a UK customer. Have you received my returned items?,https://asos-uk.custhelp.com/app/answers/detail/a_id/13
127,T5 Augmentation April 2021,I'm a UK customer a year late. Have you received my return items? Can you correct the error?,I'm a UK customer. Have you received my returned items?,https://asos-uk.custhelp.com/app/answers/detail/a_id/13
128,T5 Augmentation April 2021,Have you received my returned items?,I'm a UK customer. Have you received my returned items?,https://asos-uk.custhelp.com/app/answers/detail/a_id/13
129,T5 Augmentation April 2021,"How long has it taken to get a return from all UK customers? I'm a returning domestic customer, what are you up for?",I'm a UK customer. Have you received my returned items?,https://asos-uk.custhelp.com/app/answers/detail/a_id/13
130,T5 Augmentation April 2021,When did you retrieve your merchandise from my UK customer and have they returned my item?,I'm a UK customer. Have you received my returned items?,https://asos-uk.custhelp.com/app/answers/detail/a_id/13
131,T5 Augmentation April 2021,Have you received my goods from my return?,I'm a UK customer. Have you received my returned items?,https://asos-uk.custhelp.com/app/answers/detail/a_id/13
132,T5 Augmentation April 2021,What is your return policy?,What is your Returns Policy?,https://asos-uk.custhelp.com/app/answers/detail/a_id/69
133,T5 Augmentation April 2021,What is return policy?,What is your Returns Policy?,https://asos-uk.custhelp.com/app/answers/detail/a_id/69
134,T5 Augmentation April 2021,What's the return policy/services for AED 620?,What is your Returns Policy?,https://asos-uk.custhelp.com/app/answers/detail/a_id/69
135,T5 Augmentation April 2021,How do I return merchandise to you without charges?,What is your Returns Policy?,https://asos-uk.custhelp.com/app/answers/detail/a_id/69
136,T5 Augmentation April 2021,What is the return policy for the security deposit (sold with the manufacturer)?,What is your Returns Policy?,https://asos-uk.custhelp.com/app/answers/detail/a_id/69
137,T5 Augmentation April 2021,My order hasn't been delivered yet what should I do?,What should I do if my order hasn't been delivered yet?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7143
138,T5 Augmentation April 2021,What should I do if my order doesn't arrive?,What should I do if my order hasn't been delivered yet?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7143
139,T5 Augmentation April 2021,Is there any shipping option available if my order hasn't been received yet?,What should I do if my order hasn't been delivered yet?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7143
140,T5 Augmentation April 2021,What should I do if my order hasn't been delivered?,What should I do if my order hasn't been delivered yet?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7143
141,T5 Augmentation April 2021,Why won't my order be delivered yet?,What should I do if my order hasn't been delivered yet?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7143
142,T5 Augmentation April 2021,Why am I not receiving my order?,What should I do if my order hasn't been delivered yet?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7143
143,T5 Augmentation April 2021,Why are my orders not being fulfilled?,What should I do if my order hasn't been delivered yet?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7143
144,T5 Augmentation April 2021,What are some suggestions for someone who still hasn't delivered their order?,What should I do if my order hasn't been delivered yet?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7143
145,T5 Augmentation April 2021,What can we do if order hasn't arrived yet?,What should I do if my order hasn't been delivered yet?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7143
146,T5 Augmentation April 2021,What should I do if my order has not been delivered yet?,What should I do if my order hasn't been delivered yet?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7143
147,T5 Augmentation April 2021,How do I obtain new refund note?,How can I get a new returns note?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7150
148,T5 Augmentation April 2021,How do I get a returns e-money?,How can I get a new returns note?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7150
149,T5 Augmentation April 2021,My money was lost so how do I get it back?,How can I get a new returns note?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7150
150,T5 Augmentation April 2021,How do I get refund notes and how can I get them?,How can I get a new returns note?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7150
151,T5 Augmentation April 2021,How do I get a new return note?,How can I get a new returns note?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7150
152,T5 Augmentation April 2021,"I never got a new Return Note, is there a way to claim the old one?",How can I get a new returns note?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7150
153,T5 Augmentation April 2021,How do you change your returns notes?,How can I get a new returns note?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7150
154,T5 Augmentation April 2021,How can I get a new return note?,How can I get a new returns note?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7150
155,T5 Augmentation April 2021,How do I get a new Returns note?,How can I get a new returns note?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7150
156,T5 Augmentation April 2021,How can you return a note?,How can I get a new returns note?,https://asos-uk.custhelp.com/app/answers/detail/a_id/7150
157,T5 Augmentation April 2021,"I'm a UK customer, how do I return it to you?",I'm a UK customer. How do I return something to you?,https://asos-uk.custhelp.com/app/answers/detail/a_id/12
158,T5 Augmentation April 2021,How can I return my order to the company if I am a UK customer?,I'm a UK customer. How do I return something to you?,https://asos-uk.custhelp.com/app/answers/detail/a_id/12
159,T5 Augmentation April 2021,Can I make a return to England for some of my furniture?,I'm a UK customer. How do I return something to you?,https://asos-uk.custhelp.com/app/answers/detail/a_id/12
160,T5 Augmentation April 2021,How do I return a product to a UK customer?,I'm a UK customer. How do I return something to you?,https://asos-uk.custhelp.com/app/answers/detail/a_id/12
161,T5 Augmentation April 2021,How do I return a product I bought as a UK customer?,I'm a UK customer. How do I return something to you?,https://asos-uk.custhelp.com/app/answers/detail/a_id/12
162,T5 Augmentation April 2021,How can I return my product to you?,I'm a UK customer. How do I return something to you?,https://asos-uk.custhelp.com/app/answers/detail/a_id/12
163,T5 Augmentation April 2021,How can I refund a refund before they make a return to you?,I'm a UK customer. How do I return something to you?,https://asos-uk.custhelp.com/app/answers/detail/a_id/12
164,T5 Augmentation April 2021,I am a UK customer. How do I return it to you?,I'm a UK customer. How do I return something to you?,https://asos-uk.custhelp.com/app/answers/detail/a_id/12
165,T5 Augmentation April 2021,Where and how can I return my product to you?,I'm a UK customer. How do I return something to you?,https://asos-uk.custhelp.com/app/answers/detail/a_id/12
166,T5 Augmentation April 2021,Can I return things to BT?,I'm a UK customer. How do I return something to you?,https://asos-uk.custhelp.com/app/answers/detail/a_id/12
167,T5 Augmentation April 2021,What is your animal protection strategy?,What is ASOS' company policy regarding Animal Welfare?,
168,T5 Augmentation April 2021,What is a good animal protection policy?,What is ASOS' company policy regarding Animal Welfare?,
169,T5 Augmentation April 2021,What is your pet protection policy?,What is ASOS' company policy regarding Animal Welfare?,
170,T5 Augmentation April 2021,What's your pet policy?,What is ASOS' company policy regarding Animal Welfare?,
171,T5 Augmentation April 2021,Is any of the merchandise on the website made of real fur?,Are any of the items you sell made using real fur?,
172,T5 Augmentation April 2021,Is any of the products on the website made of real fur?,Are any of the items you sell made using real fur?,
173,T5 Augmentation April 2021,Is any product found on the website made of fur?,Are any of the items you sell made using real fur?,
174,T5 Augmentation April 2021,Is there a product on the website that made from real fur?,Are any of the items you sell made using real fur?,
175,T5 Augmentation April 2021,Is the website manufactured of fur?,Are any of the items you sell made using real fur?,
176,T5 Augmentation April 2021,Do some of the products in the website made of a real fur?,Are any of the items you sell made using real fur?,
177,T5 Augmentation April 2021,Is any product on the website made of genuine fur?,Are any of the items you sell made using real fur?,
178,T5 Augmentation April 2021,How can I fix a shipping address that I forgot?,Can I amend my order after I've placed it?,
179,T5 Augmentation April 2021,How can I fix the wrong shipping address?,Can I amend my order after I've placed it?,
180,T5 Augmentation April 2021,How do I fix lost and stolen shipping addresses?,Can I amend my order after I've placed it?,
181,T5 Augmentation April 2021,How can I fix my shipping address?,Can I amend my order after I've placed it?,
182,T5 Augmentation April 2021,"My shipping address is wrong, how do I fix it?",Can I amend my order after I've placed it?,
183,T5 Augmentation April 2021,How do I fix shipping issue if delivery address is wrong?,Can I amend my order after I've placed it?,
184,T5 Augmentation April 2021,What is the fastest way to fix a shipping address that is invalid?,Can I amend my order after I've placed it?,
185,T5 Augmentation April 2021,How do I know my order number has been received?,?,
186,T5 Augmentation April 2021,I cannot send my order number back. Please help!,?,
187,T5 Augmentation April 2021,Is there any email I should contact with to get my order number. Or am I missing the order number?,?,
188,T5 Augmentation April 2021,My order number keeps missing. Why is it still missing?,?,
189,T5 Augmentation April 2021,My order number I received is not correct. What can I do?,?,
190,T5 Augmentation April 2021,Can you send me a copy of my order number?,?,
191,T5 Augmentation April 2021,I don't know my order number. How did I reach the order number?,?,
192,T5 Augmentation April 2021,"I just received my order number and my phone number. If I can't figure out why, I should send it back.",?,
193,T5 Augmentation April 2021,I need an order number but I have no number. What is the reason?,?,
194,T5 Augmentation April 2021,Is there another way to find my orders number?,?,
195,T5 Augmentation April 2021,I have a security problem log in to a website with no admin password. How can I log in?,I'm having trouble signing into my account,
196,T5 Augmentation April 2021,Why am I not logging in to a website?,I'm having trouble signing into my account,
197,T5 Augmentation April 2021,Why do some people use the WebPages Service? I can't log into the site without logging in.,I'm having trouble signing into my account,
198,T5 Augmentation April 2021,Why do I have so many trouble log in to a website?,I'm having trouble signing into my account,
199,T5 Augmentation April 2021,Have you tried to log into your own website?,I'm having trouble signing into my account,
200,T5 Augmentation April 2021,I have no issue logging into the website. How do I fix it?,I'm having trouble signing into my account,
201,T5 Augmentation April 2021,How can I log into a website?,I'm having trouble signing into my account,
202,T5 Augmentation April 2021,Why is it that I am having trouble accessing this website?,I'm having trouble signing into my account,
203,T5 Augmentation April 2021,I am having trouble logging into a blog I had made on my own. Is there any way I can log in?,I'm having trouble signing into my account,
204,T5 Augmentation April 2021,I tried to login to the website but I am not login into the website. Is it possible to get back in?,I'm having trouble signing into my account,
205,T5 Augmentation April 2021,My promo code isn't working for me. What can I do?,Can you help me with my promo code?,
206,T5 Augmentation April 2021,"If I forget a promo code, what should I do?",Can you help me with my promo code?,
207,T5 Augmentation April 2021,My promo code is working but it's not activated.,Can you help me with my promo code?,
208,T5 Augmentation April 2021,My promo code is getting invalid. What are other reasons why my promo code is not working?,Can you help me with my promo code?,
209,T5 Augmentation April 2021,How do I find out if my promo code doesn't work?,Can you help me with my promo code?,
210,T5 Augmentation April 2021,My promo codes are still invalid. Do you know why?,Can you help me with my promo code?,
211,T5 Augmentation April 2021,Why isn't my promo code working?,Can you help me with my promo code?,
212,T5 Augmentation April 2021,My promo code is not working. How can I change it?,Can you help me with my promo code?,
213,T5 Augmentation April 2021,My promo code does not work. How can I get a refund?,Can you help me with my promo code?,
214,T5 Augmentation April 2021,My promo code is not working. How can I fix it?,Can you help me with my promo code?,
215,T5 Augmentation April 2021,What is the next sales?,?,
216,T5 Augmentation April 2021,When will the next sales happen?,?,
217,T5 Augmentation April 2021,When do you expect sales to increase?,?,
218,T5 Augmentation April 2021,What will be the next sale?,?,
219,T5 Augmentation April 2021,When will the next sales continue?,?,
220,T5 Augmentation April 2021,Who will be the next seller?,?,
221,T5 Augmentation April 2021,When will be the next sales?,?,
222,T5 Augmentation April 2021,What are the next sales and what will be their demand?,?,
223,T5 Augmentation April 2021,When is the next product launch?,?,
224,T5 Augmentation April 2021,When will you get my new shoes in stock?,Can you tell me if you're getting an item back in stock?,
225,T5 Augmentation April 2021,When do you get my new shoes in stock?,Can you tell me if you're getting an item back in stock?,
226,T5 Augmentation April 2021,How do you get your new shoes back in stock?,Can you tell me if you're getting an item back in stock?,
227,T5 Augmentation April 2021,When will I get back my sneakers in stock?,Can you tell me if you're getting an item back in stock?,
228,T5 Augmentation April 2021,If you send me your return slip slippers then when will I get them back stock?,Can you tell me if you're getting an item back in stock?,
229,T5 Augmentation April 2021,When will I get my shoes back in stock?,Can you tell me if you're getting an item back in stock?,
230,T5 Augmentation April 2021,When do you get new shoes?,Can you tell me if you're getting an item back in stock?,
231,T5 Augmentation April 2021,Can you get your feet back into stock?,Can you tell me if you're getting an item back in stock?,
232,T5 Augmentation April 2021,Is it possible to return my shoes to you during the normal shipping of the new shoes?,Can you tell me if you're getting an item back in stock?,
233,T5 Augmentation April 2021,Is it possible to buy cheap shoes online?,Can you tell me if you're getting an item back in stock?,
234,T5 Augmentation April 2021,Are humans robots?,?,
235,T5 Augmentation April 2021,Are robots really human?,?,
236,T5 Augmentation April 2021,How would you describe a robot?,?,
237,T5 Augmentation April 2021,"Is anyone a robot? If so, who are you?",?,
238,T5 Augmentation April 2021,Is robots real?,?,
239,T5 Augmentation April 2021,Is there any doubt about being a robot?,?,
240,T5 Augmentation April 2021,What is safe to pay online?,? - How can I pay for my order?,
241,T5 Augmentation April 2021,Is it safe to pay using mobile or PC?,? - How can I pay for my order?,
242,T5 Augmentation April 2021,How safe is it to pay online?,? - How can I pay for my order?,
243,T5 Augmentation April 2021,How safe is to pay online?,? - How can I pay for my order?,
244,T5 Augmentation April 2021,Does it really safe to pay online?,? - How can I pay for my order?,
245,T5 Augmentation April 2021,Is it safe to earn money online?,? - How can I pay for my order?,
246,T5 Augmentation April 2021,Is online payments safe?,? - How can I pay for my order?,
247,T5 Augmentation April 2021,Is there any way to pay online?,? - How can I pay for my order?,
248,T5 Augmentation April 2021,I just placed my order and did not receive my order confirmation email.,What can I do if I'm not receiving emails from ASOS?,
249,T5 Augmentation April 2021,I got an error when I put an order which I just placed and didn't receive. Why?,What can I do if I'm not receiving emails from ASOS?,
250,T5 Augmentation April 2021,I just placed an order but was not receiving a confirmation email. What can I do?,What can I do if I'm not receiving emails from ASOS?,
251,T5 Augmentation April 2021,I just placed an order and I did not receive my confirmation email. Please fix this.,What can I do if I'm not receiving emails from ASOS?,
252,T5 Augmentation April 2021,I received a confirmation email stating I have ordered 10 product(s). I didn't receive a confirmation email after that and everything is still ok.,What can I do if I'm not receiving emails from ASOS?,
253,T5 Augmentation April 2021,I placed an online order but will receive an email when I order online.Is there any error?,What can I do if I'm not receiving emails from ASOS?,
254,T5 Augmentation April 2021,I have a Paypal account that is disabled. I received no email from the seller confirming my order.,What can I do if I'm not receiving emails from ASOS?,
255,T5 Augmentation April 2021,I placed an order on e-commerce.com and yet I did not get my order confirmation email. How can I contact e-commerce and ship it?,What can I do if I'm not receiving emails from ASOS?,
256,T5 Augmentation April 2021,I just placed an order online and I haven't received an email yet. I will receive a confirmation email when I write it again.,What can I do if I'm not receiving emails from ASOS?,
257,T5 Augmentation April 2021,I placed my order on Etsy and I didn't receive my confirmation email. I am disappointed.,What can I do if I'm not receiving emails from ASOS?,
258,T5 Augmentation April 2021,Is it necessary to create a new account?,?,
259,T5 Augmentation April 2021,Is there a requirement for you to create a PayPal account before ordering?,?,
260,T5 Augmentation April 2021,Do I need to create an account before ordering?,?,
261,T5 Augmentation April 2021,Do I need to create an account to order a product?,?,
262,T5 Augmentation April 2021,Do you need to create an account to order?,?,
263,T5 Augmentation April 2021,Do I need to create an account to order?,?,
264,T5 Augmentation April 2021,Is it safe to create a new account before ordering?,?,
265,T5 Augmentation April 2021,Does it really exist to create an account before placing an order?,?,
266,T5 Augmentation April 2021,Is it compulsory to create an account on the internet before ordering?,?,
267,T5 Augmentation April 2021,"As a new customer, do I need to create a new account?",?,
268,T5 Augmentation April 2021,Where is market place on the app?,Why can't I find marketplace on the app?,
269,T5 Augmentation April 2021,Where is MarketPlace?,Why can't I find marketplace on the app?,
270,T5 Augmentation April 2021,Where can I find markets on app?,Why can't I find marketplace on the app?,
271,T5 Augmentation April 2021,What is Marketplace app?,Why can't I find marketplace on the app?,
272,T5 Augmentation April 2021,Where is Market Place?,Why can't I find marketplace on the app?,
273,T5 Augmentation April 2021,Market Place is on the app. Can anyone tell me where it is?,Why can't I find marketplace on the app?,
274,T5 Augmentation April 2021,What is MarketPlace in the free app?,Why can't I find marketplace on the app?,
275,T5 Augmentation April 2021,Marketplace.com/Marketplace.html?,Why can't I find marketplace on the app?,
276,T5 Augmentation April 2021,I forgot my password and I need to change it in Outlook. What can I do?,"I'VE FORGOTTEN MY PASSWORD, HOW DO I RESET IT?",
277,T5 Augmentation April 2021,I forgot my email and password. What should I do?,"I'VE FORGOTTEN MY PASSWORD, HOW DO I RESET IT?",
278,T5 Augmentation April 2021,How do you change a password on your computer?,"I'VE FORGOTTEN MY PASSWORD, HOW DO I RESET IT?",
279,T5 Augmentation April 2021,I forgot my password and I logged in. How do I get back my account?,"I'VE FORGOTTEN MY PASSWORD, HOW DO I RESET IT?",
280,T5 Augmentation April 2021,How do you get into a password safe?,"I'VE FORGOTTEN MY PASSWORD, HOW DO I RESET IT?",
